dates,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.4.1,1.4.2,1.4.3,1.4.4,1.4.5,1.5.1,1.5.2,1.5.3,1.5.4,1.5.5,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.4.1,2.4.2,2.4.3,2.4.4,2.4.5,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5
1/11/18,1088386.033,1111461.974,926429.8594,464107.2029,931835.2879,1123778.18,461194.0635,1116734.853,558903.5648,698154.9965,784514.0303,1024364.589,537778.6461,546868.1377,869953.1098,711792.5401,773627.147,743645.5704,977215.7534,798124.7814,716601.1565,559203.8412,686500.4272,875434.5993,996176.1278,783330.7429,925471.9372,1024239.445,691080.5669,905549.3608,969287.4288,951759.1389,975518.6836,634133.2121,1002658.576,495289.7357,669482.5113,1114715.856,918452.8663,651352.1572,559818.2935,662414.7372,1098891.211,601162.3282,674453.4894,858988.6318,830996.3375,1002175.043,884015.9652,629914.3921
1/12/18,1034949.832,967885.8744,1080202.887,574898.3853,737944.5474,862977.0774,649118.3466,641739.4584,879241.3877,911589.7366,528544.0313,550879.38,914254.5149,1043807.929,918522.1653,781598.2063,630837.2752,727164.3982,1129117.07,999947.7762,753491.9653,819430.1607,755910.5171,939458.273,536435.8472,812133.2102,1082434.613,728005.803,516162.605,688143.9161,1001359.306,739236.2234,773399.9088,986130.2255,788986.0939,852319.794,833461.0827,622238.458,605873.2978,567539.6379,996858.912,691996.1375,904054.3369,621812.4481,1052525.391,628695.4073,894473.5884,622779.613,618132.2285,491327.0998
1/13/18,824977.2448,799284.097,891182.466,462326.9349,713969.0622,598208.2603,625958.3702,994014.5685,909885.2987,1123078.405,902108.7729,863428.9845,896926.7493,632806.2073,1084023.014,714186.7408,892889.0576,775034.1061,998467.9316,965435.1475,947800.6065,994320.097,587956.8403,860712.5543,834966.6588,757364.0338,690744.5891,775831.5544,638945.1804,981686.3268,841022.7429,881693.4371,807001.3175,532534.9746,751685.546,521572.7354,926924.6145,609362.3552,554836.2698,750199.9581,498352.3797,902333.727,957497.9434,688068.4142,779029.4772,630968.8815,832156.0252,647309.3268,469865.3019,934314.3279
1/14/18,539609.6255,803008.552,980684.9339,852263.003,1033678.145,645142.8932,696056.8793,1062474.489,1037331.64,772389.2012,692657.2532,733382.2883,670243.5742,1023828.648,857277.5691,853435.5653,909495.7366,488559.4904,962981.6622,675768.2141,548719.2565,686688.7229,964209.1929,719506.9267,922816.8697,638666.8565,746718.2708,719420.0215,557595.1334,556271.125,780482.3812,903672.5207,665305.6957,947175.0779,886196.1472,769151.7318,562148.3031,540541.0605,524039.3099,668313.5606,657905.2241,882390.9459,694560.0302,896484.5278,1081542.512,727612.2786,651789.0817,513946.0255,577281.5094,529288.9733
1/15/18,921190.9865,1134198.493,709953.6636,565088.3038,1069187.538,594408.1599,742418.0038,896978.3256,899043.9114,952084.1644,893414.4404,574068.3353,762274.3036,1033822.974,682200.6733,942301.1314,763385.0278,884994.2569,786604.9667,1042160.962,650918.6513,975710.7441,919859.3108,650203.1947,1134829.387,955759.1149,1064601.588,843643.7663,786135.0242,681467.5345,611465.5747,919879.8892,900603.3687,1053575.849,745053.0914,464008.2028,832874.2836,546847.5827,637428.3471,798276.9789,595962.3531,1126091.673,520386.344,785644.4348,901464.1081,722721.8766,451234.4762,966678.1187,604607.0034,964131.9257
1/16/18,696730.1666,743481.5051,716168.5953,618766.0041,661595.221,888042.354,804236.3808,682225.8002,876952.8334,877906.4858,957832.8567,1102662.179,670689.2846,1025741.621,1000269.59,770672.9366,911549.5713,693159.0383,828246.9967,596635.3515,1126759.671,624823.2457,744205.4409,944290.2027,581680.0604,776906.3408,980140.076,1006721.849,660063.9998,474324.8547,828998.9157,876519.5542,550055.9342,773681.595,587186.1479,508027.8594,711648.9953,1140274.83,752069.1685,686531.4623,651947.7544,810177.8541,552294.9903,674216.0751,789498.2301,933516.2723,575664.9626,622262.4136,699762.1129,613288.754
1/17/18,837393.9591,763581.6225,676684.3839,460574.0818,918649.727,743452.4108,712608.1142,1071125.033,780390.4884,889090.582,625508.2217,548500.5198,581600.4855,604682.4718,604114.3006,994090.1383,679984.5904,498022.8469,538993.2787,951267.0287,1047568.696,840187.1304,846317.7637,1135711.777,844781.3555,460973.4384,908461.9425,721008.1198,571634.8402,784447.0567,767086.812,755894.8944,642403.452,1067496.552,608109.371,636464.1232,898255.5677,860350.953,808955.4935,590401.0739,596129.7601,517177.3879,1008860.283,910056.6093,702082.8475,544093.438,926642.9567,632111.0411,644621.3294,615970.9865
1/18/18,718122.6023,1133235.357,879294.8155,693753.1779,597229.8965,1081912.162,436219.1614,1014651.836,968149.9529,666995.6998,909809.7628,808159.1594,971191.6353,763885.9419,659288.7567,894265.2961,861604.164,660048.1676,923827.1617,997833.4858,553530.6313,611895.5288,472109.073,544717.4226,858142.7672,917558.2957,655571.783,731922.5831,882899.7032,669877.0321,659277.2701,1050923.804,555681.4974,596621.22,1123474.579,853508.5701,1034220.131,1144032.913,544326.6325,932384.7934,745488.07,1127583.042,778938.4912,449492.6273,1068971.636,504634.3209,549513.2866,897623.0112,609926.9012,694980.81
1/19/18,1094415.29,858747.6653,1120602.399,807519.2163,768946.2056,991520.8424,709532.7402,794351.2816,541118.0733,536695.0892,601388.7976,775930.5507,743873.0698,912282.9379,626164.4954,787566.025,611308.7674,913279.6444,686387.6908,549477.939,1022384.775,962323.7142,544301.3644,1013211.552,1063860.627,920016.092,684033.8443,805714.1002,883681.5904,888877.6813,829231.2927,1072918.001,875145.734,779866.1477,1031617.509,788073.5481,1079927.209,609547.8034,812349.4461,934803.4032,884274.9746,1040549.437,1005139.38,813553.4457,812527.8844,793756.4847,704814.3132,616511.1779,574855.5114,655138.521
1/20/18,1079114.607,1061351.144,755853.2932,899423.0035,831180.0854,1136097.636,636393.0312,1006138.601,707835.2924,562209.0234,855945.8831,879420.9792,1058427.691,1025444.48,998994.2749,1097961.589,544107.9904,828102.7532,656849.0629,686458.4619,545589.9132,1084696.302,910808.6744,678483.284,854441.2098,583757.0991,647329.9951,639798.9784,475404.7397,716538.4679,883768.5446,1055483.531,568157.9118,639206.436,914156.8032,643308.0562,693385.6007,1040607.702,565445.0073,1129808.193,611186.409,1014071.384,1023053.718,717985.2357,738047.02,706726.7336,744869.3552,881956.6465,439624.7005,835888.4929
1/21/18,549650.0491,608137.9741,712453.9643,622833.1445,780608.885,1055119.285,432835.3323,1081037.669,664292.6832,545576.1973,795473.4505,535493.1524,598645.6958,936440.0172,678899.6355,1046147.72,645458.5858,517945.9762,833088.0704,905033.154,896856.3183,575753.7674,876907.1354,754780.0894,732417.3004,424582.8977,1076508.811,825101.217,608674.2803,871013.6906,671493.1956,863455.7362,540418.4486,1028321.496,810137.2354,677914.8462,750967.4067,605455.0969,771791.4948,651889.7604,509948.3417,717088.0902,780878.14,775869.1013,587305.397,622879.5314,817607.9796,875653.9028,789760.5687,551868.0516
1/22/18,556932.0257,907665.3995,830767.2478,739906.425,735595.3862,913514.0447,478948.3779,1086976.62,746532.596,1028814.287,480640.9075,828661.2323,533601.9816,986167.7081,1045167.543,698969.1849,779209.2577,653822.3078,514712.1894,934113.3758,1131298.542,571431.5556,785442.7749,540219.8135,1124524.621,893859.2469,948798.4295,948301.445,488265.5431,485923.5345,1125035.094,952763.2341,1073336.998,592870.8445,607589.829,533004.0216,532199.1048,717677.1564,845460.9103,664106.4416,746099.5661,1038914.033,567335.0329,804173.0372,1027314.265,499512.3417,450945.7778,907741.196,436986.8587,707482.464
1/23/18,804819.0143,1110016.778,634541.7043,539763.8095,896877.0244,668706.5233,547152.2914,571441.3797,514325.5745,1118826.699,752586.9383,783376.5892,803561.3825,804101.215,1055022.518,772865.8951,960299.843,578018.1708,757352.2192,662523.3309,656319.1679,556496.3283,780140.3383,1033691.861,722910.7771,599415.0893,1142312.077,955332.8323,633853.1734,801202.4681,727722.6809,608871.6808,1086413.663,836012.9597,1012062.778,694462.9084,731214.8346,1122358.376,575564.2076,704658.1512,501106.4623,1002878.522,1078841.347,449873.1972,1085214.068,697863.5147,828892.0005,992016.9578,554475.5147,657155.7429
1/24/18,1034661.761,609381.4744,1015084.435,595806.8913,856996.223,557514.1772,416525.0725,1041769.133,1136127.449,524443.7971,705646.1716,1117123.811,588303.1444,755978.7768,824621.9158,1082799.577,619618.7949,786968.0102,926004.6284,653135.5277,541864.9291,1089990.114,625715.8487,937229.57,553955.6355,395850.3665,1118156.433,645293.5037,819499.1291,603964.7334,619960.2946,694514.3482,987734.7602,1053505.493,674458.3258,556602.6598,1062513.294,1056522.389,589574.8642,889837.6645,480599.2328,1110837.239,676111.4896,397806.5923,716475.484,678464.5355,571838.8618,919299.2868,746769.7569,731936.1603
1/25/18,629409.6871,548698.1347,668218.7584,478409.0066,1130944.497,624727.4988,696082.8979,1088445.015,684476.7586,674768.124,750755.7598,993102.7439,758937.2947,610641.5999,874103.2493,588374.2933,684379.1224,791608.4543,936365.0143,807232.901,871127.8416,659439.405,391866.7475,674067.0634,1116013.275,410325.4427,1052809.231,563451.239,726643.021,511713.5585,1090663.781,545997.8009,891368.292,828856.3534,1067117.003,595848.9306,1038815.905,1036069.965,417797.2977,880497.6214,625584.9939,1014550.27,785210.7048,848715.21,602154.8526,703952.571,713474.4444,977091.7812,620201.3294,854369.7353
1/26/18,1053045.916,621862.1207,933224.4111,508636.7881,1064024.235,977237.1774,564194.8279,574021.5576,903948.9171,580399.4177,694905.226,708528.607,567441.8129,913434.8476,860043.7242,879495.3398,1045204.194,817046.0002,645975.3318,606254.6249,966195.2658,1026192.47,529269.7667,1050525.098,1005391.934,558410.9952,882588.7497,747322.4888,623768.0676,601721.2788,884214.5573,1003227.201,719200.5292,678701.4539,1061096.89,500542.0226,612730.1589,613826.487,492311.8429,624002.7849,624847.9139,1121852.436,762081.6008,518650.1124,938307.9125,487559.3166,704072.4562,720425.2503,401856.8985,822286.5265
1/27/18,685398.5584,939904.1345,1145189.168,549641.4309,743838.3077,802502.7637,706783.0065,674286.6691,1065364.767,1007496.438,588764.6853,591763.4454,638305.758,667490.7572,1143248.386,522117.3068,719871.0596,703278.6744,693988.7984,713013.8983,606684.05,716854.4285,594730.4379,1098251.702,536969.5964,727158.2344,559019.111,911463.9885,691801.433,733928.306,769073.5407,994002.0239,622211.3663,1105941.15,717651.8028,405861.399,702028.2862,924218.424,448360.2558,1068943.335,449394.3409,788047.9333,1099622.726,590004.5669,1139146.989,573550.3944,728473.583,964326.0858,469041.5718,450579.0565
1/28/18,931407.1853,1136128.318,1002632.051,628118.3842,755448.9195,687888.6194,717624.6366,663137.184,954957.4396,898638.8953,454178.7344,1120248.469,1029919.759,930819.6683,555464.5367,807213.3284,575040.2,670010.0634,1005812.631,801557.235,517875.1612,849020.8562,648159.3274,1059674.63,711899.1312,496747.2496,900976.5321,743696.5011,617527.4078,659353.8219,928102.5958,608614.2147,948592.3508,1110573.651,1001293.56,799494.9045,607207.6727,702979.5959,700182.8967,672666.227,803379.5493,1115642.568,1050779.352,781082.7039,632233.0485,791958.4906,420630.3727,1014418.325,701918.2019,794968.1375
1/29/18,803354.6237,1088254.353,619814.5205,586982.304,750403.3541,891299.1834,379717.3816,732121.2559,973732.6681,561334.0013,470816.4283,554738.0469,1041736.525,640390.9918,1003076.326,1131603.806,1018681.857,579933.9778,944470.021,687891.0376,563346.4615,727541.9559,472269.7146,789878.9127,721838.1401,652459.6533,784432.941,1045736.469,573321.5141,565499.9457,906872.4084,937962.0675,1144592.545,536269.9338,860579.7405,387982.4046,899130.6654,619694.2513,586386.873,796137.9016,809047.6116,892333.1287,988737.873,492348.8195,1082475.27,745027.5461,510110.9611,1060547.687,594188.5087,458175.9863
1/30/18,1073880.495,820914.3506,1136212.314,371428.4187,1128430.519,1050526.836,485742.9101,642419.1327,793163.9675,946493.4388,483314.3251,1124092.399,628530.2819,927342.4019,543764.677,1067189.134,546815.3522,574274.8319,811529.0034,581632.4893,574832.5343,743305.5788,382516.9909,1122579.04,1141169.916,613388.011,515444.6114,904367.6113,690353.1817,531113.9407,871916.9409,615749.3592,936008.6273,646415.9412,888349.5828,736801.8671,861347.6802,1124990.244,524375.9794,908957.8689,419296.9615,980504.6622,966046.469,746327.2526,1031317.043,653514.6257,479314.0102,799047.1102,620858.621,391294.8366
1/31/18,586649.1493,1113886.554,673076.8352,737525.9536,878443.4467,637956.8902,732081.2987,647563.09,707545.3312,542262.7661,549251.332,721417.2544,905865.2903,747911.7817,1105348.948,976612.2156,552734.0505,502613.8155,755377.1282,874598.0422,669496.7184,1104458.623,535731.5578,692136.5461,1099413.171,662068.5399,1104914.724,818040.7353,493808.6404,703457.7725,553675.8763,574470.5175,957466.8842,651454.1008,744236.9381,690179.1603,649713.7672,726126.8367,475244.2794,819548.9564,775493.2153,933717.6926,1039315.95,558848.7699,720818.5531,732514.8427,613096.7321,721944.5801,595015.6336,364916.7494
2/1/18,1068050.894,794604.138,871096.2534,418068.4547,632089.1637,893605.4966,377858.9476,1140878.557,1106855.355,1075941.547,715747.0193,1114445.014,755439.8511,1045117.704,755182.9895,798957.7868,1045844.874,702238.626,910202.0871,772974.0355,598981.7544,936592.5926,405088.9408,513730.0471,705799.4433,602200.2509,732790.0104,942746.3128,584864.1107,472348.0199,648372.7065,790663.8557,789051.0083,746337.4371,1135995.428,494810.0304,740490.0388,1129277.92,477178.1042,679181.2462,449307.2584,934698.6635,843610.9312,750502.5731,798877.3428,599335.4017,484685.8076,625320.2679,385956.2189,698727.0146
2/2/18,808071.6874,798308.6426,732222.7083,363850.4712,1123818.572,886922.4859,460239.0356,809734.7131,723867.9436,1045038.734,643577.4476,1072958.204,643803.4572,582745.4805,809834.5029,591126.8458,612357.5244,555369.4015,1042194.704,943520.2226,1002711.702,545125.3482,440889.2079,889565.9912,1138728.333,674703.33,624557.8825,895460.5828,622623.2523,737830.2643,834832.3713,846096.1557,759335.8495,821940.8145,1029052.218,727012.8455,905477.6175,1122217.665,406218.6233,1077617.986,743743.9747,754378.1339,1130522.743,514139.4254,947684.5314,586790.9479,505185.634,824226.2704,659310.7013,628701.1613
2/3/18,843847.6912,514623.8105,923738.2916,709819.1223,722355.2639,801872.4364,716815.8571,844274.0935,806976.0016,631739.0868,574103.8645,661712.2408,837275.9947,983627.0531,546082.8547,863680.7073,796114.815,553878.0603,673671.947,922463.241,721449.0315,916642.33,686100.5992,724499.6689,676616.9757,389458.1223,1025141.71,738772.2251,580209.14,444206.1473,765298.605,1075823.129,719943.531,654805.0902,563863.0563,465467.2533,1111213.009,532946.9053,727117.4527,635253.0046,430832.3127,902427.5091,633521.7394,601498.9497,832445.5764,440573.975,385655.1495,943338.4773,401217.3201,407631.1536
2/4/18,527452.3422,624431.87,655988.7013,534340.0728,928323.4106,975213.4951,524722.6302,719396.9727,975225.7752,1142337.657,525674.877,632820.7922,1006054.152,627184.2714,611051.7547,908430.4677,656061.7773,675387.4989,814298.8614,578043.3041,967642.0486,1033691.785,478694.5169,617967.2558,953266.4153,597422.325,1077873.148,1027002.88,426499.7873,702470.7825,1038917.395,598626.5388,565869.5843,564896.2081,667447.4935,425883.1552,558485.0596,892404.7689,538923.516,699665.409,583041.8798,521501.3378,800417.9077,367184.1563,854475.7451,572067.2913,709583.481,819866.3493,432549.1533,744782.3529
2/5/18,723069.8515,798490.539,1099944.729,506592.3783,998576.1475,590574.7332,422585.0554,1021732.57,563240.7394,655505.6217,347938.394,661723.274,761871.4413,960511.3249,887974.4546,1080628.912,1013357.439,583248.5421,979969.5906,1129808.646,682729.057,709184.7792,569265.7203,1114810.923,1111698.772,617297.4416,726576.6657,586541.0467,534085.4268,363138.6505,691109.2131,728385.012,1095058.011,1055617.516,646764.4311,360041.3306,745789.8965,998541.3476,717754.062,922073.6034,520915.4453,682223.4576,662839.9303,623357.1924,985186.6994,392779.9837,613691.3499,606627.6371,437376.3647,523410.2627
2/6/18,707015.285,1073310.284,942607.9824,583535.2883,1051747.098,723339.0687,461320.7781,1059110.35,1038370.195,1034156.992,660237.5069,963260.2501,832059.4905,757453.3693,919945.3704,576828.1425,658039.4376,630295.4103,552588.881,752308.5052,534146.9151,956907.0257,516363.1896,968485.2937,795800.3693,484785.9162,1015507.701,1004390.144,552935.3789,470934.4755,569033.9164,869966.8257,789560.424,742719.8376,915394.4089,563986.6759,848921.5197,951708.4316,348732.8673,709976.9013,590952.3568,974911.5184,1038774.115,578261.9315,553436.8492,589599.1916,686189.0459,1125226.324,576990.5585,540050.9472
2/7/18,993467.6325,664092.6123,899083.5099,514029.9058,837853.9522,741695.0363,449266.4701,701975.9541,793403.977,1042966.989,460891.0411,572213.7781,927789.5103,929069.6241,1009693.289,791772.4639,541657.868,492520.2841,1013976.733,868841.6677,833097.8944,1046305.812,521753.6866,1062539.781,747412.2278,377916.6863,588217.0704,966487.7585,367331.9059,409426.8987,568383.4875,786564.1968,741145.682,912185.0751,1047501.288,542727.3305,1126151.94,1131031.592,536499.7144,791229.2686,553889.4366,907740.667,655035.8424,651881.3338,749349.3828,531008.8187,319657.8396,606353.3189,638487.0923,497270.8283
2/8/18,1012038.52,811511.4335,560598.2164,403561.353,531014.2467,682926.9364,456526.9964,850477.5386,1035450.935,552149.1029,582655.5083,945350.9753,665554.0934,808300.4748,1004042.561,1040952.3,1078451.029,487154.0451,674200.104,729973.8659,999984.9943,1057071.554,379450.7917,777002.5832,711715.5723,378282.8873,925170.5651,513484.3699,604555.9458,512520.511,1052594.009,1096494.856,942157.6622,1116490.385,627502.2311,417829.4657,1056386.023,1123733.141,599216.2364,551120.9765,443066.9276,663553.4221,533052.4384,349932.7578,989458.1283,574768.0567,664169.7082,594760.6928,665499.9451,570711.5648
2/9/18,1007380.477,667700.7655,910700.2429,531232.7799,553939.7659,829044.1442,607477.5707,882979.5586,1078860.088,1029304.13,570255.6304,879190.3403,550555.7525,588164.3605,903384.94,852701.1785,657416.9696,586683.4585,931891.8141,1136918.551,755807.1201,523689.7622,616669.6331,1003548.372,851491.269,404683.6331,688258.8734,574276.0765,561597.559,611850.9961,550224.5303,989152.9399,1115375.089,805541.1966,1013481.147,557948.1975,629607.4531,608231.7562,613441.6562,908875.1956,500414.9905,997404.0229,809642.6314,445885.0915,732122.654,433919.7855,596862.681,990841.4703,544724.6779,460498.9055
2/10/18,573544.9014,742293.322,643355.7064,558420.4282,770982.2058,641056.6102,531101.1777,1109117.271,811894.6099,992060.7127,660868.7267,592441.6083,823074.8519,662141.4769,621790.9717,1004824.065,1090415.988,340154.941,789623.0713,926781.8255,840586.781,1034595.448,638452.1472,913037.9553,984738.3441,640614.4195,903939.2441,1045967.108,402050.7969,353902.0109,1002481.743,549297.4784,1031283.566,593592.6112,585536.9893,430652.2114,688913.4585,546775.7915,552608.8239,1104997.813,674047.6353,947556.7807,947808.9948,447793.4466,740735.2627,545901.038,620685.9924,1126878.278,544919.8975,656616.0327
2/11/18,974556.1517,695135.7583,566065.4611,558533.0239,812834.0174,637534.8332,361848.3527,659086.4943,1006575.054,1100833.164,403896.5731,650376.1739,564845.8409,818457.5781,819346.0894,710626.5744,522920.4999,398017.6161,880627.2613,1057478.573,584459.2135,523443.2537,480297.5257,1094499.437,993567.9891,616951.2616,1036181.544,847419.1553,441838.0114,599158.9899,929025.6047,657073.0139,1124976.225,725509.9609,931814.5818,597878.7462,917617.2175,666148.5629,450657.2686,750700.0031,568747.7771,1066089.217,1138616.036,490283.2209,1120348.787,465381.781,572849.0365,1113205.368,597400.4464,576358.4752
2/12/18,811249.3954,608162.6099,735130.7834,642707.7745,918769.5806,818773.8375,321501.6602,1051019.399,540614.4765,765403.6092,366274.3378,584616.3608,888801.9433,1130612.406,547527.8238,562270.8395,769034.9245,536344.6127,1020078.915,860208.0506,592258.0872,746512.8345,436952.0019,1120026.671,839370.7126,505875.425,1024747.614,996325.7937,390119.8771,315374.8144,779497.3295,562813.128,579830.642,803450.5595,1012246.866,499829.8398,562628.0955,774115.1387,494553.9789,899194.333,353932.86,1015982.014,951932.8359,519160.5846,585010.3437,371390.262,618196.6225,1017634.8,462100.2941,587185.9205
2/13/18,743826.141,1081042.203,1119603.141,373147.681,939018.117,807011.935,297703.399,1113703.373,535574.3521,627691.7222,537339.3893,952463.0711,979829.711,839653.5324,919346.7824,712265.0777,1039414.493,504354.4967,809613.008,980333.4968,577089.1982,786525.2784,415670.3162,668077.0273,679510.5414,338848.5489,1067589.087,1141506.541,433918.083,561144.2199,521942.4007,1001258.911,980315.9268,556054.9254,873268.7326,296787.1702,804551.1195,939261.4138,531058.8177,592846.4355,304800.1783,825659.0729,961175.3941,595104.8842,937642.4453,411423.1119,370159.2148,671378.8208,601532.7896,593657.1915
